Date,^IRX
2014-01-02,0.057999998331069946
2014-01-03,0.057999998331069946
2014-01-06,0.04500000178813934
2014-01-07,0.0430000014603138
2014-01-08,0.03999999910593033
2014-01-09,0.032999999821186066
2014-01-10,0.032999999821186066
2014-01-13,0.029999999329447746
2014-01-14,0.032999999821186066
2014-01-15,0.03500000014901161
2014-01-16,0.029999999329447746
2014-01-17,0.029999999329447746
2014-01-21,0.02800000086426735
2014-01-22,0.029999999329447746
2014-01-23,0.029999999329447746
2014-01-24,0.032999999821186066
2014-01-27,0.04800000041723251
2014-01-28,0.04500000178813934
2014-01-29,0.03999999910593033
2014-01-30,0.014999999664723873
2014-01-31,0.009999999776482582
2014-02-03,0.019999999552965164
2014-02-04,0.054999999701976776
2014-02-05,0.054999999701976776
2014-02-06,0.05999999865889549
2014-02-07,0.07199999690055847
2014-02-10,0.054999999701976776
2014-02-11,0.04500000178813934
2014-02-12,0.0430000014603138
2014-02-13,0.02500000037252903
2014-02-14,0.009999999776482582
2014-02-18,0.014999999664723873
2014-02-19,0.04500000178813934
2014-02-20,0.03999999910593033
2014-02-21,0.03500000014901161
2014-02-24,0.032999999821186066
2014-02-25,0.03999999910593033
2014-02-26,0.03999999910593033
2014-02-27,0.03500000014901161
2014-02-28,0.0430000014603138
2014-03-03,0.0430000014603138
2014-03-04,0.04800000041723251
2014-03-05,0.05000000074505806
2014-03-06,0.04500000178813934
2014-03-07,0.04500000178813934
2014-03-10,0.03999999910593033
2014-03-11,0.04500000178813934
2014-03-12,0.03999999910593033
2014-03-13,0.03999999910593033
2014-03-14,0.03999999910593033
2014-03-17,0.0430000014603138
2014-03-18,0.05000000074505806
2014-03-19,0.05000000074505806
2014-03-20,0.052000001072883606
2014-03-21,0.04500000178813934
2014-03-24,0.0430000014603138
2014-03-25,0.04500000178813934
2014-03-26,0.03700000047683716
2014-03-27,0.032999999821186066
2014-03-28,0.032999999821186066
2014-03-31,0.02800000086426735
2014-04-01,0.029999999329447746
2014-04-02,0.017999999225139618
2014-04-03,0.014999999664723873
2014-04-04,0.019999999552965164
2014-04-07,0.019999999552965164
2014-04-08,0.02500000037252903
2014-04-09,0.02800000086426735
2014-04-10,0.02800000086426735
2014-04-11,0.029999999329447746
2014-04-14,0.029999999329447746
2014-04-15,0.029999999329447746
2014-04-16,0.02500000037252903
2014-04-17,0.02500000037252903
2014-04-21,0.02500000037252903
2014-04-22,0.02500000037252903
2014-04-23,0.014999999664723873
2014-04-24,0.007000000216066837
2014-04-25,0.007000000216066837
2014-04-28,0.003000000026077032
2014-04-29,0.014999999664723873
2014-04-30,0.019999999552965164
2014-05-01,0.017999999225139618
2014-05-02,0.014999999664723873
2014-05-05,0.014999999664723873
2014-05-06,0.019999999552965164
2014-05-07,0.019999999552965164
2014-05-08,0.02199999988079071
2014-05-09,0.02199999988079071
2014-05-12,0.019999999552965164
2014-05-13,0.019999999552965164
2014-05-14,0.019999999552965164
2014-05-15,0.017999999225139618
2014-05-16,0.014999999664723873
2014-05-19,0.017999999225139618
2014-05-20,0.02500000037252903
2014-05-21,0.02500000037252903
2014-05-22,0.02800000086426735
2014-05-23,0.02800000086426735
2014-05-27,0.02800000086426735
2014-05-28,0.02800000086426735
2014-05-29,0.029999999329447746
2014-05-30,0.029999999329447746
2014-06-02,0.02500000037252903
2014-06-03,0.029999999329447746
2014-06-04,0.029999999329447746
2014-06-05,0.029999999329447746
2014-06-06,0.02800000086426735
2014-06-09,0.029999999329447746
2014-06-10,0.03500000014901161
2014-06-11,0.032999999821186066
2014-06-12,0.032999999821186066
2014-06-13,0.029999999329447746
2014-06-16,0.02500000037252903
2014-06-17,0.032999999821186066
2014-06-18,0.017999999225139618
2014-06-19,0.009999999776482582
2014-06-20,0.009999999776482582
2014-06-23,0.004999999888241291
2014-06-24,0.02199999988079071
2014-06-25,0.019999999552965164
2014-06-26,0.02500000037252903
2014-06-27,0.017999999225139618
2014-06-30,0.019999999552965164
2014-07-01,0.02500000037252903
2014-07-02,0.007000000216066837
2014-07-03,0.003000000026077032
2014-07-07,0.007000000216066837
2014-07-08,0.02500000037252903
2014-07-09,0.014999999664723873
2014-07-10,0.014999999664723873
2014-07-11,0.014999999664723873
2014-07-14,0.014999999664723873
2014-07-15,0.019999999552965164
2014-07-16,0.017999999225139618
2014-07-17,0.007000000216066837
2014-07-18,0.009999999776482582
2014-07-21,0.013000000268220901
2014-07-22,0.019999999552965164
2014-07-23,0.019999999552965164
2014-07-24,0.019999999552965164
2014-07-25,0.019999999552965164
2014-07-28,0.02500000037252903
2014-07-29,0.02800000086426735
2014-07-30,0.02800000086426735
2014-07-31,0.017999999225139618
2014-08-01,0.017999999225139618
2014-08-04,0.014999999664723873
2014-08-05,0.02500000037252903
2014-08-06,0.019999999552965164
2014-08-07,0.019999999552965164
2014-08-08,0.019999999552965164
2014-08-11,0.02500000037252903
2014-08-12,0.02500000037252903
2014-08-13,0.029999999329447746
2014-08-14,0.02800000086426735
2014-08-15,0.02199999988079071
2014-08-18,0.02199999988079071
2014-08-19,0.02500000037252903
2014-08-20,0.02500000037252903
2014-08-21,0.014999999664723873
2014-08-22,0.014999999664723873
2014-08-25,0.014999999664723873
2014-08-26,0.02500000037252903
2014-08-27,0.02500000037252903
2014-08-28,0.02199999988079071
2014-08-29,0.017999999225139618
2014-09-02,0.019999999552965164
2014-09-03,0.019999999552965164
2014-09-04,0.019999999552965164
2014-09-05,0.019999999552965164
2014-09-08,0.019999999552965164
2014-09-09,0.014999999664723873
2014-09-10,0.014999999664723873
